,numero_client,id_personne,id_coordonnee,nom,prenom,date_inscription,solde_client,npa,localite,rue,numero_rue,complement,adresse_mail,telephone,pays
586,182791,434725,381475,Lena,Hartmann,2024-04-06,0.0,Ottobeurenweg,7008,Mauren,622,Bis,Lena.Hartmann@outlook.com,+49769468943,FRANCE
293,154120,426536,397863,Anja,Flückiger,2021-08-05,0.0,Heuwies,7008,Mauren,654,,Anja.Flückiger@outlook.com,+33315798036,FRANCE
44,178696,473646,311847,Olivia,Pinto,2021-09-13,0.0,Delehala,7008,Mauren,264,,Olivia.Pinto@gmail.com,+49418302485,FRANCE
592,141842,434735,371249,Charlotte,da Costa,2022-10-16,13.33,Landammannstrasse,7007,Eschen,1,,Charlotte.da Costa@yahoo.com,+33123646494,FRANCE
596,127507,471604,369207,Mia,Lang,2023-03-23,0.0,Kanalstrasse,7001,Vaduz,554,,Mia.Lang@yahoo.com,+41767246882,FRANCE
95,121365,481854,320055,Valentina,Senn,2021-11-16,8.41,Austrasse,7001,Vaduz,206,,Valentina.Senn@yahoo.com,+41632572451,FRANCE
17,150038,432703,399929,Alina,Stucki,2024-12-19,9.06,Alte Churerstrasse,7003,Balzers,352,,Alina.Stucki@gmail.com,+49191375910,FRANCE
856,111130,459342,318014,Janine,Teixeira,2021-12-02,0.0,Brunnenbritschen,7008,Mauren,123,,Janine.Teixeira@yahoo.com,+41223470118,FRANCE
545,186907,422479,389696,Jana,Siegenthaler,2021-09-14,0.0,Weidriet,7001,Vaduz,113,,Jana.Siegenthaler@yahoo.com,+33852310578,FRANCE
365,147998,410194,391750,Maja,Zbinden,2024-02-01,4.84,Oberfeld,7002,Triesen,679,,Maja.Zbinden@outlook.com,+41527766079,FRANCE
402,123423,438868,379468,Jennifer,Marques,2023-11-20,0.0,Insel,7003,Balzers,600,,Jennifer.Marques@yahoo.com,+499497221711,FRANCE
229,135719,479835,348775,Monique,Fankhauser,2024-05-02,7.87,Talweg,7010,Ruggell,110,,Monique.Fankhauser@outlook.com,+41567302741,FRANCE
730,186919,442977,352881,Lina,Odermatt,2022-04-29,-0.25,Höfle,7003,Balzers,649,,Lina.Odermatt@yahoo.com,+41270170717,FRANCE
324,117294,485991,385655,Judith,Sommer,2023-03-31,10.17,Gätterweg,7005,Schaan,674,,Judith.Sommer@outlook.com,+49241885799,FRANCE
868,143921,430699,338557,Eveline,Zaugg,2022-02-14,5.37,Silumstrasse,7004,Triesenberg,439,,Eveline.Zaugg@outlook.com,+41196455021,FRANCE
283,141881,453230,387723,Pia,Scherrer,2025-01-23,10.27,Sax,7002,Triesen,937,,Pia.Scherrer@outlook.com,+41238162542,FRANCE
704,189001,430707,326288,Aline,Shala,2022-01-09,10.12,Kappele,7003,Balzers,1050,,Aline.Shala@gmail.com,+41700177017,FRANCE
190,176715,436867,332444,Giulia,Imhof,2023-02-24,0.0,Im Glenn,7008,Mauren,100,,Giulia.Imhof@yahoo.com,+413925789314,FRANCE
698,191051,477833,318115,Adelheid,Santos,2022-09-22,0.0,Landstrasse,7002,Triesen,961,,Adelheid.Santos@yahoo.com,+411833372304,FRANCE
78,195167,475789,336555,Bettina,Küng,2023-06-30,0.0,Klosterwingert,7008,Mauren,300,,Bettina.Küng@outlook.com,+41621783697,FRANCE
23,129640,465558,377517,Michèle,Portmann,2025-02-07,8.02,Kasernastrasse,7006,Planken,168,Bis,Michèle.Portmann@gmail.com,+41402891418,FRANCE
144,186994,481943,357041,Nora,Rodriguez,2023-06-27,11.7,Bergerwald,7011,Schellenberg,365,,Nora.Rodriguez@gmail.com,+49416719516,FRANCE
373,176760,455320,359093,Elisa,Vogt,2022-08-30,0.0,Steckergass,7005,Schaan,916,,Elisa.Vogt@outlook.com,+41286646945,FRANCE
338,166523,494244,395968,Eliane,Bajrami,2021-08-07,0.0,Sandgrube,7008,Mauren,375,,Eliane.Bajrami@gmail.com,+41897948321,FRANCE
90,135804,484018,314053,Selina,Schärer,2023-10-14,0.0,Rainweg,7001,Vaduz,362,,Selina.Schärer@outlook.com,+41689707688,FRANCE
306,148095,426675,365256,Françoise,Ackermann,2022-12-27,0.0,Ritsch,7003,Balzers,429,,Françoise.Ackermann@outlook.com,+41279495340,FRANCE
594,119427,420532,320208,Livia,Scheidegger,2024-08-15,6.52,Mariahilf,7003,Balzers,974,,Livia.Scheidegger@gmail.com,+41851149485,FRANCE
851,148104,469685,340691,Carla,Morina,2024-06-21,8.02,Bödastrasse,7004,Triesenberg,524,,Carla.Morina@yahoo.com,+41232706733,FRANCE
251,117386,410298,324309,Linda,Schwarz,2022-01-13,12.61,Kasperigass,7001,Vaduz,739,,Linda.Schwarz@yahoo.com,+41430066351,FRANCE
506,137871,494267,340695,Renate,Ramadani,2024-12-04,-0.06,Binnendamm,7005,Schaan,688,,Renate.Ramadani@yahoo.com,+41876470960,FRANCE
385,170640,463551,336599,Leonie,Jost,2023-07-14,0.0,Im Feld,7007,Eschen,682,,Leonie.Jost@outlook.com,+41688038576,FRANCE
87,195220,477891,330457,Dora,Nguyen,2023-09-19,4.59,In der Betzi,7010,Ruggell,315,,Dora.Nguyen@outlook.com,+41361837235,FRANCE
233,156308,492234,381674,Christiane,Schenk,2025-01-16,0.0,Sonnblickstrasse,7001,Vaduz,68,,Christiane.Schenk@yahoo.com,+41715246275,FRANCE
60,170649,498393,330481,Helena,Liechti,2024-02-01,0.0,Oberau,7003,Balzers,238,,Helena.Liechti@outlook.com,+33690512582,FRANCE
383,184986,426717,365324,Mirjam,Rey,2022-06-17,2.87,Waldstrasse,7007,Eschen,298,Bis,Mirjam.Rey@yahoo.com,+41360723143,FRANCE
518,141980,445153,348940,Nadja,Costa,2023-02-19,6.64,Schulgass,7005,Schaan,109,Bis,Nadja.Costa@outlook.com,+49185903816,FRANCE
111,180892,428776,344859,Madeleine,Kuhn,2023-03-07,0.0,Sandweg,7002,Triesen,72,Bis,Madeleine.Kuhn@yahoo.com,+41827316938,FRANCE
219,117405,418550,328476,Martha,Schumacher,2023-03-23,0.0,Rosenstrasse,7008,Mauren,833,,Martha.Schumacher@gmail.com,+41602761939,FRANCE
50,137887,428792,396063,Bernadette,Hofstetter,2022-10-25,11.42,Plattenbach,7003,Balzers,528,,Bernadette.Hofstetter@outlook.com,+41795701977,FRANCE
530,139939,420604,369447,Elsbeth,Hasler,2024-09-27,16.59,Im Lutzfeld,7008,Mauren,10,,Elsbeth.Hasler@gmail.com,+41295344870,FRANCE
834,170670,445184,387882,Hanna,Weiss,2021-06-18,5.83,Gatter,7003,Balzers,202,,Hanna.Weiss@gmail.com,+33788134632,FRANCE
444,115376,494346,391989,Alessia,Giger,2021-12-23,0.0,Obergass,7005,Schaan,138,,Alessia.Giger@outlook.com,+41883245805,FRANCE
831,162481,424729,375605,Astrid,Seiler,2023-12-01,0.0,Im unteren Rossfeld,7005,Schaan,357,,Astrid.Seiler@gmail.com,+41124078829,FRANCE
47,131764,488222,351042,Stephanie,Staub,2024-02-03,4.74,Philosophenweg,7004,Triesenberg,157,,Stephanie.Staub@outlook.com,+41843383546,FRANCE
212,191156,432928,342855,Lucia,Stocker,2022-06-19,0.0,Vordersilumstrasse,7004,Triesenberg,840,,Lucia.Stocker@gmail.com,+33194415375,FRANCE
30,152248,457506,353121,Brigitta,Röthlisberger,2023-03-04,0.0,Hinterschloss,7011,Schellenberg,7,,Brigitta.Röthlisberger@yahoo.com,+41365665041,FRANCE
503,180922,420643,334692,Valérie,Herzog,2024-10-16,4.93,Alberweg,7003,Balzers,127,,Valérie.Herzog@yahoo.com,+41264792853,FRANCE
336,139964,424743,363364,Ramona,Lüscher,2023-07-03,0.0,St. Markusgasse,7001,Vaduz,688,,Ramona.Lüscher@gmail.com,+41234703639,FRANCE
822,195281,471847,326502,Cristina,Schnyder,2022-06-17,0.0,Auring,7001,Vaduz,600,,Cristina.Schnyder@gmail.com,+41744586012,FRANCE
163,195284,434994,349030,Iris,Wolf,2022-03-31,6.86,Kanalstrasse,7003,Balzers,690,,Iris.Wolf@gmail.com,+41158733092,FRANCE
37,119516,447285,332652,Priska,Haas,2024-01-06,5.68,Industriestrasse,7008,Mauren,141,,Priska.Haas@gmail.com,+49176165670,FRANCE
510,189152,498486,330604,Julie,Wittwer,2024-06-30,0.0,Böler,7007,Eschen,275,,Julie.Wittwer@outlook.com,+41798903081,FRANCE
785,189165,461621,365424,Sonia,Dias,2024-01-18,5.34,Saxgass,7005,Schaan,540,,Sonia.Dias@yahoo.com,+415543240494,FRANCE
96,137972,430918,322420,Regina,Schwab,2022-02-19,0.0,Pfandbrunnen,7008,Mauren,118,,Regina.Schwab@yahoo.com,+41215765809,FRANCE
553,156407,473926,371576,Luana,Betschart,2022-01-03,4.49,Am Bühel,7008,Mauren,455,,Luana.Betschart@gmail.com,+41129985330,FRANCE
253,135929,441164,353146,Paula,Fässler,2021-04-28,0.0,Essanestrasse,7007,Eschen,468,,Paula.Fässler@yahoo.com,+41627882802,FRANCE
812,129789,490326,342913,Monica,Stöckli,2024-11-27,0.0,Bachtalwingert,7008,Mauren,487,,Monica.Stöckli@yahoo.com,+411985862451,FRANCE
79,160515,480100,316294,Lorena,Zehnder,2023-07-27,0.0,Äulestrasse,7001,Vaduz,313,,Lorena.Zehnder@outlook.com,+49670327605,FRANCE
682,142094,428901,344991,Magdalena,Stadelmann,2023-11-12,0.0,Lettstrasse,7001,Vaduz,534,,Magdalena.Stadelmann@yahoo.com,+33917343030,FRANCE
622,129819,426858,381858,Dominique,Fernandez,2022-04-17,0.0,Kappeleweg,7008,Mauren,764,,Dominique.Fernandez@gmail.com,+41928238397,FRANCE
263,142118,492395,324535,Isabel,Käser,2024-02-24,7.75,Matustrasse,7004,Triesenberg,523,,Isabel.Käser@yahoo.com,+33775789395,FRANCE
677,142120,412529,373696,Marion,Marty,2021-12-01,0.0,Marktgass,7001,Vaduz,288,,Marion.Marty@yahoo.com,+41429228890,FRANCE
148,187190,467830,318403,Patrizia,Bühlmann,2023-02-01,7.12,Im Katzarank,7005,Schaan,252,,Patrizia.Bühlmann@gmail.com,+415302309725,FRANCE
625,154422,494458,385988,Stéphanie,Martinez,2023-02-14,0.0,Im Wingert,7005,Schaan,299,,Stéphanie.Martinez@gmail.com,+49934062943,FRANCE
540,113468,457605,357320,Emilie,Schaller,2021-06-03,4.43,Grüschaweg,7004,Triesenberg,123,,Emilie.Schaller@gmail.com,+33437519201,FRANCE
409,129862,451470,324559,Beatrix,Gonzalez,2021-08-11,7.83,Oberau,7001,Vaduz,790,,Beatrix.Gonzalez@gmail.com,+49743959398,FRANCE
248,189257,498579,334805,Vera,Weibel,2024-06-03,0.0,Meder,7007,Eschen,885,,Vera.Weibel@gmail.com,+41295725934,FRANCE
679,191310,490388,324573,Hedwig,de Oliveira,2022-08-22,0.0,Meierhofstrasse,7002,Triesen,982,,Hedwig.de Oliveira@outlook.com,+41796349300,FRANCE
507,138070,435096,365538,Miriam,Kaiser,2024-03-21,2.76,Steinbruch,7009,Gamprin,1039,,Miriam.Kaiser@gmail.com,+41247483253,FRANCE
170,156510,461721,383977,Emilia,Häfliger,2023-08-03,0.0,Alte Landstrasse,7001,Vaduz,11,,Emilia.Häfliger@gmail.com,+49262722423,FRANCE
394,170847,492444,353261,Sophia,Ulrich,2023-11-28,0.0,Kreuzstrasse,7010,Ruggell,256,,Sophia.Ulrich@gmail.com,+49385139579,FRANCE
109,199520,457645,388081,Theresia,Steiger,2022-06-04,1.72,Büdamistrasse,7004,Triesenberg,792,,Theresia.Steiger@gmail.com,+41882340741,FRANCE
346,148321,482224,345081,Noemi,Näf,2022-08-23,0.0,Knebelbrugg,7002,Triesen,735,,Noemi.Näf@gmail.com,+41452213644,FRANCE
268,197474,467895,353288,Olga,Gloor,2024-12-07,3.68,Am Bach,7002,Triesen,529,,Olga.Gloor@gmail.com,+41487197585,FRANCE
843,136055,422847,367628,Rebecca,Rohner,2023-02-06,0.0,Sternenbergstrasse,7004,Triesenberg,86,,Rebecca.Rohner@yahoo.com,+411526737812,FRANCE
693,119676,478150,345102,Véronique,Beck,2024-10-30,0.0,Kopferweg,7010,Ruggell,943,Bis,Véronique.Beck@yahoo.com,+33949197722,FRANCE
279,197510,433096,396313,Myriam,Rohrer,2023-01-26,0.0,Torbariet,7003,Balzers,242,Bis,Myriam.Rohrer@yahoo.com,+41736220063,FRANCE
648,181128,461782,381986,Katja,Rossi,2022-02-02,0.0,Unterm Rain,7006,Planken,112,,Katja.Rossi@yahoo.com,+416551837606,FRANCE
919,189320,416730,390183,Annemarie,Stettler,2024-12-15,10.43,Kanalstrasse,7010,Ruggell,647,,Annemarie.Stettler@gmail.com,+41873184168,FRANCE
273,181138,426990,357416,Lia,Lutz,2022-02-02,0.0,Kloggerweg,7011,Schellenberg,782,,Lia.Lutz@gmail.com,+41799925164,FRANCE
